date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-05-27,35.1,25.8,40.8,0,,334,15.1,,994.9,
2024-05-28,34.1,25.4,40.7,0,,330,17.6,,992.9,
2024-05-29,33.2,25.2,40.8,0,,323,16.2,,993.9,
2024-05-30,34.5,26.8,40.3,0,,10,14,,997.2,
2024-05-31,36.9,25.7,40.5,0,,29,17.2,,999.3,
2024-06-01,33.9,27.8,40.8,0,,359,17.5,,1000.4,
2024-06-02,33.6,26.3,40.3,0,,92,13.4,,1001.1,
2024-06-03,34.3,28.8,41.9,0,,73,14.6,,999.8,
2024-06-04,31.8,25.5,38.5,0,,95,18.9,,999.6,
2024-06-05,27.8,22,35.8,0,,66,24.3,,1002.4,
2024-06-06,27.7,22,34,0.3,,5,20.5,,1006.3,
2024-06-07,28.2,22.2,39.4,0,,334,17.2,,1004.4,
2024-06-08,30.3,23,37.2,0,,334,17,,1002.5,
2024-06-09,31.1,23.9,37.9,0,,339,15.4,,1001.4,
2024-06-10,32.8,24.1,40.2,0,,356,13.3,,1000.7,
2024-06-11,34.5,25.4,41.2,0,,352,12.4,,999.8,
2024-06-12,35.5,26.7,42.5,0,,53,14.2,,998.9,
2024-06-13,35.8,28.9,42.6,0,,90,16.5,,998.2,
2024-06-14,34.6,25.8,41.1,2,,67,17.7,,998.1,
2024-06-15,35.6,29.1,41.8,0,,59,14.3,,997.9,
2024-06-16,36.6,28.4,43.5,0,,23,14.9,,997.7,
2024-06-17,37,29.4,43.7,0,,77,16.5,,997.2,
2024-06-18,31.7,25.4,39.8,8.9,,15,19.7,,996.3,
2024-06-19,33.6,25.8,41.7,0,,110,17.2,,993.8,
2024-06-20,30.8,25,37,0,,116,20,,995.9,
2024-06-21,30.8,25,35.7,1,,85,17,,999.6,
2024-06-22,32.8,25.2,38.4,0,,88,13.5,,999.2,
2024-06-23,32.3,28.2,39.4,0,,40,14.2,,999.5,
2024-06-24,34.4,26.4,41,0,,104,12.3,,997.5,
2024-06-25,35.4,28.4,41.9,0,,79,13.7,,995.8,
2024-06-26,36.3,29.4,42.7,0,,94,14.5,,995.4,
2024-06-27,29,24.5,39,0,,121,23.5,,998.9,
2024-06-28,32.9,24.5,37.5,0,,141,17.2,,998.6,
2024-06-29,31.8,25.6,38.3,5.1,,116,17.9,,996.6,
2024-06-30,32.5,28.4,38.4,0,,141,15.5,,995.5,
2024-07-01,32.7,27.3,38.4,0,,122,20.8,,993.4,
2024-07-02,33,26,37.9,8.6,,126,19.3,,991.6,
2024-07-03,32.3,29,40.5,0,,112,19.2,,993.4,
2024-07-04,26.8,22.7,32.5,43.9,,107,24.4,,998.3,
2024-07-05,27.6,22,33.9,0,,117,22.9,,995.9,
2024-07-06,28,21.5,30.6,43.9,,109,20.4,,995.2,
2024-07-07,28.8,24.9,33.9,0,,120,16.2,,998.1,
2024-07-08,31.9,25.1,37.4,0,,155,10.6,,1000.6,
2024-07-09,33,28.6,38.2,0,,167,14.6,,1001.2,
2024-07-10,28.8,24,32.8,0,,131,14.7,,1001.7,
2024-07-11,32,22,36.5,19.1,,150,11.2,,997.5,
2024-07-12,29.2,17.7,34.3,30,,123,15.4,,994.9,
2024-07-13,29.2,24,32.9,0,,133,12.4,,997,
2024-07-14,29.4,26,35.8,0,,120,12.8,,996.8,
2024-07-15,32.6,24.8,37.8,0,,132,9.5,,999.2,
2024-07-16,32.8,28.1,38.7,0,,336,11.7,,999.8,
2024-07-17,32.5,28.1,38.6,0,,129,15.2,,999.1,
2024-07-18,30.2,24.5,34.8,21.1,,198,15.3,,998.5,
2024-07-19,31.8,26.8,35,0,,216,14,,996.7,
2024-07-20,32.7,28,38.7,0.8,,216,10.6,,997,
2024-07-21,32.9,29.7,38.8,0,,154,15.9,,996.6,
2024-07-22,31.7,21.9,37.3,17,,126,16.4,,996.9,
2024-07-23,28.4,23.5,31.3,15.4,,98,17.7,,997.3,
2024-07-24,30.7,25.4,35,25.9,,144,10.2,,993.7,
2024-07-25,30,23.9,37.5,0,,135,15.6,,992.2,
2024-07-26,30.2,24.3,35,59.9,,115,14.3,,993.8,
2024-07-27,30.5,26.9,33.4,0,,115,17.7,,995.8,
2024-07-28,28.7,24.7,31.6,27.9,,126,14.2,,997.9,
2024-07-29,27.3,26.5,29.5,0,,140,12.8,,998.7,
2024-07-30,29,24.4,32.5,81,,189,12.3,,1000,
2024-07-31,32.8,26.5,36.1,0,,125,9.1,,997.7,
2024-08-01,27.2,26,29,18,,119,18.5,,997.8,
2024-08-02,30.7,25.5,34,0,,121,12.8,,997.8,
2024-08-03,29.7,27.8,32.6,0,,134,16.5,,999.4,
2024-08-04,28.8,26,31.4,0,,118,18,,1001.9,
2024-08-05,30.6,26,34.1,0,,142,13.2,,1001.4,
2024-08-06,30.1,27.7,33.4,0,,134,16.5,,998.8,
2024-08-07,28.1,25.5,31.8,0,,123,17.8,,999.5,
2024-08-08,27.6,22.5,30.6,66,,125,16.4,,1002.3,
2024-08-09,29.7,26.4,34.1,0,,126,11.5,,1002.8,
2024-08-10,27.9,26,32.9,30,,123,12.9,,1001.5,
2024-08-11,24.7,22.2,25.5,85.1,,94,18,,1001.4,
2024-08-12,28.5,24.3,32.5,0,,132,10.9,,1002.4,
2024-08-13,30,25.9,34.3,0,,139,9.2,,1002.7,
2024-08-14,31.6,27.5,36.2,0.2,,134,11.3,,1002.5,
2024-08-15,28.3,26,30.1,11.8,,131,14.3,,1002.7,
2024-08-16,28.8,24.5,34,1,,123,10.5,,1002.3,
2024-08-17,27.4,22.8,31,39.9,,102,13.9,,1004.7,
2024-08-18,28.1,24.5,32,0,,202,7.2,,1004.6,
2024-08-19,31.6,25.2,34.3,0,,136,10.6,,1002.7,
2024-08-20,28.5,25.8,32.4,9.8,,95,11.6,,1003.1,
2024-08-21,26.7,22.3,32.7,6,,46,12.5,,1004.9,
2024-08-22,28.9,23.8,33.8,0,,254,10.3,,1003.3,
2024-08-23,29.6,25.9,35.4,0,,173,9.8,,1003.4,
2024-08-24,29.7,24.7,35.1,0,,182,10.4,,1003.9,
2024-08-25,30.4,25.5,35.1,0,,146,10.1,,1002.3,
2024-08-26,30.4,26.6,36.4,0,,127,11.2,,1001.8,
2024-08-27,24.6,21.5,27,15,,96,14.4,,1005.4,
2024-08-28,25.6,23.8,27.1,18,,113,10.1,,1006.1,
2024-08-29,25.3,23.5,28,0,,110,12,,1004.7,
2024-08-30,23.2,21,26.6,38.1,,309,12.5,,1007,
2024-08-31,27.9,21.5,33.1,25.9,,223,9.9,,1006.1,
2024-09-01,29.3,24.7,34.2,0,,148,9.7,,1004.7,
2024-09-02,26.7,25,32.7,0,,116,13.3,,1004.8,
2024-09-03,27.6,23.9,31.5,3,,127,12.1,,1005.4,
2024-09-04,28.9,24.3,32.9,0,,176,9,,1004.2,
2024-09-05,28.7,24.2,33.4,0,,143,8.4,,1001.3,
2024-09-06,26.3,24.7,33.7,0,,116,13.8,,1003.4,
2024-09-07,27.1,19.9,32.1,55.1,,170,10.8,,1005.5,
2024-09-08,28.7,23.3,33.8,0,,353,10.5,,1004.9,
2024-09-09,28.8,24.8,35.2,0,,333,8.6,,1002,
2024-09-10,28.6,25.3,35.1,0,,112,10.9,,1001.7,
2024-09-11,28.9,24.8,34.7,0,,153,11.9,,1002.2,
2024-09-12,28.5,23.7,35.5,0,,126,10.6,,1000,
2024-09-13,28.8,23.7,34,0.3,,164,13,,999.2,
2024-09-14,26.6,21.8,31.6,3,,22,17,,1002.2,
2024-09-15,27.8,22.9,33,0,,331,10.3,,1003.2,
2024-09-16,28.1,22,33.5,0,,10,10.6,,1004.5,
2024-09-17,28.6,23.5,34,0,,3,11.3,,1005.9,
2024-09-18,28.8,23.1,34.8,0,,98,8.9,,1006,
2024-09-19,29,24,36,0,,89,8.7,,1006.7,
2024-09-20,29.2,23.2,34.6,0,,113,8.6,,1005.6,
2024-09-21,29.2,24.4,35.1,0,,91,9.8,,1005.8,
2024-09-22,30.1,25.1,34.8,0,,135,9.8,,1005.4,
2024-09-23,30.9,25.7,36,0,,85,8.4,,1005.1,
2024-09-24,31.3,25.5,36.4,0,,80,8.6,,1003.7,
2024-09-25,30.8,26.1,36.2,0,,103,10.3,,1003.4,
2024-09-26,25.7,25,32.7,0,,90,15.2,,1004.5,
2024-09-27,24.4,19.8,30.6,10.9,,61,17.1,,1005.2,
2024-09-28,25.4,20.7,30.8,1.3,,108,14.6,,1006.8,
2024-09-29,26.4,22,31,0.1,,43,9.5,,1009.6,
2024-09-30,25.7,22.2,31.2,0,,337,10.6,,1008.4,
2024-10-01,27.2,21.5,33.6,0,,61,10.7,,1005,
2024-10-02,26.3,21.5,34.1,0,,37,8.9,,1004.9,
2024-10-03,27.8,22.1,33.3,0,,75,8.2,,1004.1,
2024-10-04,27.6,21.7,33.1,0,,93,8.5,,1005.3,
2024-10-05,25.9,20.5,32,0,,81,12.5,,1007.7,
2024-10-06,23.7,18.2,30.4,49,,322,9.2,,1012.4,
2024-10-07,24.1,18.8,30.5,0,,102,8.8,,1013.7,
2024-10-08,22.9,21,28.5,0,,280,13.1,,1014.2,
2024-10-09,23.6,18.4,29,0,,294,12.3,,1012.2,
2024-10-10,23.9,17.9,30.3,0,,359,9.1,,1011,
2024-10-11,23.2,18,31,0,,321,8.3,,1010.8,
2024-10-12,24.1,17.9,31.8,0,,50,6,,1010.6,
2024-10-13,25.3,19.6,32,0,,82,6.3,,1011.4,
2024-10-14,23.8,19.6,31.4,0,,351,9.2,,1012.4,
2024-10-15,24.8,18,31.3,0,,83,7.9,,1011.2,
2024-10-16,24.4,18.5,30.8,0,,72,7.3,,1009.7,
2024-10-17,24.8,19.7,31.1,0,,56,8.4,,1010.9,
2024-10-18,24,19.9,31.1,0,,45,7.8,,1011.2,
2024-10-19,23.9,18.2,30.5,0,,77,5.6,,1011.5,
2024-10-20,24.2,19.1,29.7,0,,113,6.7,,1012.6,
2024-10-21,24.8,19.2,29.9,0,,65,6.3,,1013.3,
2024-10-22,24.4,19.3,30.1,0,,21,7.1,,1014.5,
2024-10-23,22.9,18.2,28.2,0,,299,8.9,,1014.9,
2024-10-24,22.9,17,30,0,,330,10.1,,1013.8,
2024-10-25,23,15.9,31,0,,315,7.4,,1012.1,
2024-10-26,25.6,15.9,32.4,0,,38,6,,1011.2,
2024-10-27,23.1,15.1,30.2,0,,87,7.2,,1010.5,
2024-10-28,23.5,18.1,29,0,,70,10,,1009.4,
2024-10-29,23.2,19.2,28.2,0,,47,12.6,,1010.9,
2024-10-30,22.7,17.8,28.8,1,,329,11.3,,1012.8,
2024-10-31,21.8,16.5,30.5,0,,310,10.4,,1013.8,
2024-11-01,22.2,13.5,30.1,0,,342,7.9,,1013.4,
2024-11-02,21.7,14.5,29.6,0,,39,5.5,,1014.1,
2024-11-03,21.9,15.6,29.3,0,,15,6.2,,1015.7,
2024-11-04,22.2,14.8,29.6,0,,297,6,,1013.7,
